Rating,Text
3.0,"The only reason I bought this power supply was to use it with my Microsoft surface go 2, I have a good quality cable that converts the crappy proprietary Microsoft surface quick connect connector to USB c, this charger, though it's well made and works well charging standard USB C devices such as phones, Bluetooth speakers will not charge my surface device with the cable I selected, as I expected, it will do it only though USB c, due to proper data communication standard that it expects between my surface and the charger, but with only one c dual purpose port on my surface, I'd rather not tie it up for only charging, but save it for data transfer, I'd rather buy third party cables and this good powersupply for cheaper than the overpriced horribly & cheaply made oem charger Microsoft provides that dies in 6 months, you can't replace the cable with those and instead need to pay 80 bucks for the real thing, third party quick connect chargers from other people are usually junk too unfortunately, I wish Anker would MAKE a proper surface charger with ganfet technology with user replaceable cables for us surface users, I'd gladly pay for a product that isn't made like junk and can be used longer with user replaceable cables, though, this 65 watt Gan anker charger is cheaper that the oem adapter and is more than powerful enough. It should STILL be able to easily charge my surface, it just doesn't. I have an even cheaper Amazon basics 25 - 30 watt watt pd compatible Gan fet USB c charger which works just fine with the smart connect to USB c cable I bought, but it isn't made as well as the anker but is still better than the oem surface charger but still tends to struggle sometimes to charge it tripping its over current protection even though it is a bit more powerful than what I need, but it still has been more reliable than the junky oem Microsoft adapter. It still works fine mostly a few years later and like the anker power supply being capable of multiple voltage outputs depending on data transfer between both devices it still just works when the anker doesn't in this application which is kinda pathetic honestly, I suppose it's because this anker unit is not a pd compatible device where as that Amazon one is, this is a heads up for surface users, don't waste your money or time here unless a charger is pd compatible, don't. Bother trying it and if this some how is, then there really is no excuse, now I need to waste my time shipping this unit back. Great charger though, don't waste time trying to charge anything but a phone or a Bluetooth speaker, might even be a hit or a miss with a laptop too. Update, because of that Amazon charger working before though struggling at times, I bought the 65 watt version which I'm sure will work like the lower wattage version but only better, I'll be using that to charge my surface go 2 instead of the smaller Amazon basics one, the anker one is going back. This is the cable I went with https://www.amazon.com/dp/B07X9TWW23?ref=ppx_yo2ov_dt_b_product_details&th=1 Sisyphy 10ft Surface Connect to USB-C Charging Cable Compatible for Microsoft Surface Pro7 Go2 Pro6 5/4/3 Surface Laptop1/2/3 & Surface Book, Black Male, Works with 45W 15V3A USBC Charger (Black TVP) Amazon basics 65 watt charger https://www.amazon.com/dp/B087MFLLCR?psc=1&ref=ppx_yo2ov_dt_b_product_details 4/28/2023 Friday update, I was able to get my 45-50 bucks back for this anker charger and went ahead and bought the Amazon basics 65 watt USB C pd gan charger and IT WORKS WONDERFULLY just like I thought it would to charge my surface go 2, no more over current protection trips like I got with the smaller Amazon basics charger ""which mind you was still rock solid even with pushing it past it's limits for a long time"" not only does this new one charge my go 2 faster than the oem charger when it was new it runs much cooler too, since it is only working around 50 to 55 percent capacity it runs fairly cool, only Luke warm. THIS IS TRULY A LIFE SAVER FOR MICROSOFT SURFACE USERS! Far cheaper and better quality. I BET this will will also work with the surface pro model's too and if not and you have a similar situation like I had with the smallest 30 watt one they make "" which as I said still worked but struggled because my go 2 as I just remembered requires 35 watts not 30"" you can always go for the 100 watt model and I'm sure it'll be absolutely perfect! And you'll also get extra USB ports to charge other things at the same time. One thing to note is make sure you align the smart connector up perfectly into the female connector port when connecting, otherwise it can short the power supply out, I did have this happen many times with my previous Amazon charger, and yet after bench testing it with non inductive dummy load resistors and checking voltages, it had absolutely no damage what so ever and pretty much met its specs within a margin of error, so they are designed incredibly well for such an affordable price. Go for it, it just works and will save you a LOT of money! Update to this review 4/11/2024 that Amazon basics 65 watt charger is still working perfectly to charge my surface go 2 , but I have since upgraded the USB c to smart connector cable to https://www.amazon.com/dp/B087KTCLPD?psc=1&ref=ppx_yo2ov_dt_b_product_details 6ft Nylon Braided Surface Connect to USB-C Charging Cable, Requires 45W 15V3A USBC Charger PD Power Supply, Compatible with Microsoft Surface Pro7 Go2 Pro6 5/4/3 Laptop1/2/3 & Surface Book for 9 bucks its far better quality than the other I linked previously and has stronger magnets, been using this cable for the last 2 months and its been great."
4.0,"Great compact charger. Absolutely perfect for Steam Deck, and charges my laptop efficiently as well. Wish it had another port for charging multiple devices, but still a fantastic block that is very impressive for its size"
5.0,So far my fastest charger I have at the moment with the fact it’s 65W I have it paired with another one of my fast cables and it works perfectly and charges my phone fully super quick would definitely get again
5.0,It charges my phone and accessories fast. It even charges my laptop. I travel for work and it is a lot easier to carry with.
5.0,"Small and compact , fast portable charger very durable and easy to use"
5.0,This brand is simply the best for chargers. Works flawlessly.
5.0,Worked as expected!
4.0,It charges my MacBook well. The reason why I gave it 4 stars instead of 5 is because of how much it heats up. I thought GaN chargers were supposed to run cool. I'm a little worried that it'll fry my laptop because of the heat.
5.0,Excellent travel charger for my Lenovo laptop. Appreciate that the prongs fold in.
4.0,"Functionally it's fine, but it gets quite hot under load. You'd know to stop touching it before it could burn you, but still."
5.0,"I believe that it met expectations. I unfortunately got a cable that doesn't fit fully into the charger. So, if not careful it doesn't charge. But, as was said, this I believe is a cable issue."
5.0,"Works like a charm, and I can't believe how small it is! It's nearly as small as Apple's little white cubic 5-watt USB-A power adapter that I used with my old iPhone… but somehow *this* little powerhouse puts out 65 watts. Amazing!"
5.0,Very fast charger Just remember it's a USB-C to USB-C type charger.
5.0,Perfect for nintendo switch 2 dock to have so not have to move wires around just have this in one room and the original in another
5.0,Great charger!
5.0,"Awesome, compact and powerful. Everyone is always jealous and/or impressed by it. Never gets too hot. Bring it everywhere I travel."
4.0,It would be great if it has a charge indicator.
5.0,Super fast charging. Product as described.
5.0,"I have been using this for several months and like the light weight and power of this unit. I keep it in my computer bag and use it to run my Lenovo laptop. It gets a bit warm, but not hot when under load."
5.0,Exactly what I was looking for! Not bulky or expensive like some name brands! Pair with a fast usb-c charging cable and it works perfectly!
5.0,Worked great !!!
5.0,I got this so I have a second charger for my Nintendo Switch 2. I'm very impressed with the size compared to the Nintendo's brick. Would recommend.
5.0,So far so good! Got it to charge a lithium battery and this does a nice job of charging it quickly!
5.0,Great product!
5.0,my devices are all usb-c now. purchased this for charging. Anker makes a great product.
5.0,Great little charger. 65W in a vary small package
5.0,The charger block is 65W and allows a lot of things to be charged using it.
5.0,Works great charging phone and watch
4.0,Good charger works
4.0,"Not as lightweight as I was expecting, but definitely less bulky/heavy than my OEM laptop charger. Make sure you use the right cable with it."
5.0,Amazing and small
5.0,"Bought for my brother and he loves it, especially the compact size."
5.0,Great product 👌
5.0,Works well and doesn't heat up when using. I don't keep it plugged in all the time unplug it when I'm not using it
5.0,Nice compact size perfect for travel
5.0,Good quality
1.0,"Purchased on April 9th and by Aug 4th one of the buttons (L1) began to fail. My in game (Call of Duty) aiming would twitch in and out of ADS perspective, so I know that the signal is being interrupted somehow. Game breaking for COD where the TTK is so low. Have contacted manufacture to see if they will issue a refund. Will update this review depending on what they say... I do play a lot of CoD. So your mileage may vary. But if you game everyday like me, then be warned.  Update 8/9. Okay, so after some email exchange they are offering me a refund. Had told them I'd ordered a replacement already so don't know if that swayed their decision. But here is the thing with the second controller. Stick drift on right stick, and this one refused to update (unlike the first one). Which brings me to my final criticism about this product besides the massive Quality Control Issue this company has with this product. Their ""PowerA HQ App"" that promises all that cool tweaking and easy updates is buggy as hell! I honestly have no idea HOW this controller has so many positive reviews. Amazon had to do a crack down on Chinese companies a few years ago for ""boosting"" with paid product reviews. I know PowerA is listed as American but they just got acquired and who knows who owns that company. Point is, I'm starting to get REALLY damn skeptical about the purity of Amazon reviews. I mean one controller breaking under 4 months and now an non-updateable controller with stick drift right out of the box. Ultimately I think all the positive reviews will give people that ""safe"" feeling enough to go ahead and buy this controller which I always thought was too good to be true for the price (which I get, is NICE). But in the end this is simply too much attention this company is making me give it. Okay RANT over. My search for a good controller company continues...."
1.0,"So, the fantastic thing about PowerA controllers is that they're dirt cheap, esp compared to your wireless microsoft ones. The downside? They wont last you more than a few weeks before you start getting issues with the joysticks, triggers, or buttons(I'd bought four in the past for split-screen, which I have swapped out using as they have failed). My last PowerA controller was actually fairly old, but finally had developed a mushy B-button which I knew I couldn't fix, so I ordered a new one which arrived about a week ago. Now I've been using it fairly regularly since then, but it has ALREADY developed a ghost input on the left trigger that causes it to act like the trigger is being held down around 5-10%. Now, the reason I clarified that my previous PowerA controller was fairly old is because USUALLY the ghost inputs or joystick drifts can be solved by opening up the controller, dabbing some rubbing alcohol on the sensor, running it through its motion a few times, and then giving it a few minutes to dry. When I bought this one, I was really hoping PowerA would have achieved a bit more reliability in the few years since I last bought a controller from them, but it looks like it'll probably be the same old song and dance with this one as well. Fortunately I'm used to it, but if you want to avoid the struggle, just pay the extra money for a proper controller that will last.  And for those that already have one and are experiencing issues, remember: pop it open, dab on some rubbing alcohol(make sure it's 91% to avoid as much water contamination as possible, and be sure it's really immersed to wash off the contact surfaces inside), run it through its range of motion, and keep your fingers crossed. That usually does it, but if that doesn't fix the problem then just buy a better controller next time..."
1.0,"This product is awful. The buttons break easy, usually after 2 weeks worth of use. I've bought 5 of these controllers and they all break. All of them. The top left and right buttons break first, then the rest begin to go. You'll be lucky to use them for a month. They company knows this, they get constant returns but they refuse to fix the the problem. At this point, they are stealing money."
1.0,"Worked fine until a flimsy bit of plastic broke, causing my left bumper to stop working. I super glued it back together, but there wasn't enough surface area for the repair to hold (as I said, flimsy). If you buy one of these, expect to replace it after a few months."
1.0,"I've had an awful history with PowerA controllers. The longest one had lasted me was a year before it started drifting, the shortest was ""I opened it out of the box and tried to play a game"" and it was drifting. I had swore off of them until this one which came with the promises of a software to calibrate the sticks, so I said ""Why not""  Well. It's been a month and left stick is already drifting to the left. So I downloaded the PowerA app from the microsoft store where it told me ""An update is available for your controller!""...... ""Update Failed"". Unplugged and plugged the controller back in, ""An update is available!"" ""Failed!"". So this time I opted to skip the update and go straight to the test/calibration menu. Sure enough, the left stick is off center to the left and the right stick is *slightly* up and to the right, so I hit calibrate... And the software doesn't let me. It pulls up the proper menu, it allows me to hit ""A"" to begin the process, and then doesn't track a single thing I do unless it's pressing ""B"" to leave.  Controller felt great. Was good for the month it lasted. Would've been amazing and gotten a decent review if the software actually let me fix it. Save yourself the time and money and just buy a generic controller from a no name company"
1.0,The wire doesnt keep a connection at all almost every few minutes I have to unplug the wire and plug it back it and then wait to see if it contents. Mind you I just bought the darn thing and its a waste of my money ill never get back
1.0,"The buttons didn’t last a month. Day 1, the controller seemed decent for the price. But day 2, the trigger was constantly registered without my pushing it. Then the bumper right above it. Now my d pad registers that I’m pushing it without even touching my controller. Pretty disappointed because I can’t do anything with it. It does its own things even when I’m not touching it. Looks cool, performs horribly."
1.0,"Late review but I was clearing out my old-tech box and found this. Remembered that it broke within 4 months of purchasing. The interiors for LT and RT are built very weak plastic that broke. Rendering LB, RB and L joystick unusable. I've had redgear controllers last year while an official XBOX one break in months. Downright dysmal product."
1.0,I got this product for my daughter we got in in two weeks it took long to get to my house and when we got it .it was broken and the cord did not fit I'm so mad about this had to return this
1.0,After reading all the great reviews on this controller I decided to give it a try especially with it being much lower in price. What I got is what I paid for.  When the controller first came in it was extremely light but felt good holding it. For any person buying this I HIGHLY recommend you turn off the vibration. (I feel like the vibration likely caused some of its faults as time went). After using the controller for about two weeks I noticed a tiny shadow drift effect that I wasn’t sure if it was my internet or the controller. After week three the controller definitely had a bad drift in all directions. After week four the controller started having issues where the analog clicks stopped working and also the triggers start randomly freaking out glitching. After week five the controller started randomly having a mind of its own turning on my xbox and loving into games while no one is home.(friends told me I was online when I wasn’t) I’ve watched this happen too.  So again the good reviews are deceiving and it’s what you pay for buying a cheap controller.
1.0,"This is supposed to mimic an Xbox 360 controller. You would expect to be able to use the joysticks in 360 degrees. This is incorrect. I held the left stick up and jiggled it slightly left and right. My character continued to move directly forward. I pulled out a weapon I need to aim with the left stick. Moving the stick slightly did nothing. Moving it harder caused me to whip around like crazy. There is no ""slightly"" moving the control stick. It's either hard or nothing. It seems the control stick only reads 8 directions. Up, Up/Right, Right, etc. There is no in between. This makes it IMPOSSIBLE to aim any kind of weapon in first person.  Let's talk about the feel. The controller is hard plastic. It doesn't have any weight to it. It's extremely plastic. Go grab your actual Xbox 360 controller. Now take away 50% of the weight and make it a much harder plastic. The controller, with it's Micro-USB cable in the box feel just as a heavy as a normal 360 controller. YES THIS IS NOT A USB-C controller. Why is this controller not USB-C?? The left joystick has a lot of small bumps on it. I played with this for a good 20 minutes before quitting. Now 20 minutes after stopping playing my thumb still hurts.  Ultimately you get what you pay for with this. If you just want a decent controller it's fine. If you want to be able to precisely aim with a joystick go with something else."
1.0,"This is the lowest quality product I have ever seen in my life. It arrived missing the right bumper, both joysticks broken and the usbc port misaligned. Completely unusable."
1.0,"Unfortunately, within 2 months, one of the buttons is no longer functional under normal use  I am outside my Amazon return window, so it’s just a paper weight now. Consider spending the additional to get a well built Microsoft branded unit"
1.0,"Did not work upon arrival. W11 would recognize the device was connected but the light on the controller would not flash, and inputs were not recognized"
1.0,"Horrible product, would not recommend. This product works fine for the first 2-3 days than it starts disconnecting, stick drift, it turns off, sometimes and often times turns off when i am mid playing. Its a horrible product and I wish if I had to go back in time, get a refund. Also the peices are very fragile and faulty, as seen in the photo below. This item becomes very useless and bad."
1.0,"The first one i got a few years ago worked fine for a couple years. Not sure if something had changed along the way but the last two I bought were hot garbage. I bought one in July and it didnt work at all straight out of the box. Okay, it happens, exchanged it for another. Two months later it randomly disconnects for no reason, kicking me off my game. Last week it was four times within 15 minutes. Got a new controller from elsewhere and haven't had a problem yet. I will not be purchasing this controller again after all the recent trouble I've had."
1.0,I have purchased 5 of these in the last year. The Right analog stick starts to slightly drift after about 3 to 4 months. After 6-8 months it drifts pretty bad and after a year its not really usable. The RT has issues. If there is any pressure at all it triggers like a full press. This makes just holding the controller an issue during game play. I am trying to find a new brand because this brand is a joke. I even purchased the Camo version that is almost twice the price and that one lasted 5 months and its junk. the sad part is I only play a few times a week so its not like I'm a hard core gamer. The quality of the internal parts especially the analog have to be poor quality.
1.0,"Controller definitely feels cheap, with very little weight to it. Right out of the box the left trigger doesn’t work. Unusable for me."
1.0,Right thumb stick just didn't respond at all upon second use of controller. Not really worth the trouble of sending back.
1.0,Bought this in May as a backup. Started using in November. The R trigger started activating on its own. Now has completely broken and is out of placement. Controller is completely unusable.
1.0,Terrible broke first 2 days package came open its cheap X buttons sucks dont buy not Ai Not Ai not Ai
1.0,"Only lasts a few months and repeatedly shocks you. Bought 2 at the same time, same issue with both of them."
1.0,I have purchased 2 of these controllers now and they break after only a couple months. I have barley used them and they no longer turn on. They worked fine the first day i got them and then I set them aside for a few weeks till i can play again then they don't work. Don't buy this version of a controller they are poor quality
1.0,This controller wouldn't work upon opening the package. It would plug in but wouldn't work
1.0,"It worked for a couple days then stopped. I was hoping the bad reviews would be false but I was the one wrong. It doesn’t turn on at all. Not only that, this is one of multiple I’ve bought and returned of this “PowerA” brand. I’d recommend an actual controller. The amount of cash I’ve spent buying new ones of these id have a new controller."
1.0,These used to be perfectly good cheap controllers but I think they've been cutting costs. got mine in February and it is barely usable. The dpad is all messed up and wants to press down whenever its touched and the triggers are worse getting randomly stuck. Just shell out the extra money for a good brand these are trash now.
1.0,Awfully awful controller please anyone seeing this do NOT buy this. First time I got got this it immediately came with stickdrift then the A button started falling out and felt janky. After. A few days of using it the cord (which is my major issue) wouldn't work I would be mid game and move a little and it would turn off it was beyond infuriating now currently after a year using it it just won't turn on at all and does stuff on its own I turned of the xbox and it auto turned on selected a profile and turned on Roblox and a game in Roblox came back to turn it off again and now it wont turn on at All please NEVER buy this i have a proof to consider looking at the video.
1.0,"The buttons are terrible, after a couple weeks it’s harder to press some buttons and others press by themselves and spams."
1.0,This is NOT a wired controller. This is a controller that accepts a wire.
1.0,"I bought this controller brand new specifically because my old controller had stick drift. The new controller ended up having problems activating triggers without me even touching them. So I ordered for a return of controller I just bought n got a new one. The ""new"" controller again had issues. The trigger use by shelves n my joysticks are zooming in n doing things on their own. Tbh I felt it was very odd to have 2 new controller back to back be so bad. I've realized I believe it's due to the way the controllers are packaged as it's changed n it puts pressure on triggers n joysticks while in box so when u get it new n take it out to play it's already been stressed being pressed against stuff constantly n it'll start messing up within just a few minutes of using. I never thought I'd say this but time for me to switch to keyboard n mouse because I will not keep getting a new controller every week or month that's absurd. DO NOT GET HIGHLY NOT RECCOMENDED!!"
1.0,"It was much lighter than I expected. It didn't seem like an issue until I started playing but you kind of want a controller with some heft. Maybe it's an outdated idea but like the lawyer in Jurassic Park says "" if it's heavy its expensive"".  But my number one issue is that it is always losing connection with my Xbox. I have a usb-c cable that has been working well with my original xbox controller but with this controller it is always loading connection. So I have to hold down the xbox button and that brings up the home menu and I'm always accidentally exiting my game. Actually, I hated this controller. That's a strong word but it is a constant source of ire and as an adult i just want to game with ease. Just do yourself a favor and buy a better quality one and spend the extra dough. Thanks for your time ."
1.0,Analog sticks instantly stick to the sides and buttons double click.
1.0,"The left bumper randomly broke and I hadn't even had the controller for a month. I didn't hit it or anything, it just stopped working."
1.0,The button is malfunctioning after a year of use.
1.0,Had this for less than 2 months and the LB button is already broken. Very poor quality.
1.0,Died within a few months
1.0,"Controller arrived with slight joystick drift. Wasn't a problem for most modern games with deadzone settings, but then I booted up some Fallout New Vegas and was constantly walking backwards and scrolling down in menus. While extremely annoying, this actually wasn't much of a problem on the legit Xbox controllers. You just have to pop the joystick off and reseat it on the post. Except there were two problems with this piece of shit. First, the post is a horizontal piece which makes it extremely hard to put the joystick back on because you have to line it up with the post. Second, it didn't matter anyways because the post itself was loose and causing the drift. So now that I've struggled and finally got the joystick back on, it's actually much worse because of the cheap parts and shoddy manufacturing. What was originally solved with a 5% deadzone now needs like ~25% deadzone and is, in my opinion, entirely unrealistic and unusable. Just spend the extra 20 dollars and buy directly from Microsoft. This product is trash."
1.0,"I've bought quite a few of these in the years past, and, until now they were great. This one lasted 2 months, developed issues losing wired connection. So I go to try and enter all the relevant data in the fields required, it keeps asking me to do the annoying recaptcha every time I hit submit. So I refreshed, knowing all the PITA info I entered would be gone. Verified human.. Filled the form out AGAIN and hit submit. SAME ISSUE! So, I make an account, submit my email and password, and go figure, there's another error saying that that email's in use. So I go through the steps to reset it, log in, fill the form, submit, and the same frigging captpcha error!!! SO TIRED of dealing with Chinese companies that scam. HORRIBLE!!!! 2 MONTHS!! F*** CHINESE COMPANIES!!"
1.0,Honestly pretty good but don’t drop it like I did it broke all the screws not the metal but the plastic back and front the holes where you put the screws snapped completely off
1.0,Terrible trash that no one should buy. Right thumb stick is already broken and is unusable garbage. DO NOT WASTE YOUR MONEY
1.0,How do I receive my refund because it’s not working
1.0,Had this controller for a maybe a month or two and already my right bumper has stopped working
1.0,"About a one month process of playing using this controller. 4/5. The ONLY thing I can ding on this controller is that pressing buttons in a panic with pressure CAN make them stick a bit, slowing down the snappy feeling in high tension moments in games, and the Ergonomics are a BIT off of an actual microsoft xbox controller. EDIT: Recent developments have made this controller borderline UNUSABLE. The thumbstick the about 2 weeks ago started to drift, extremely minorly, managable. AS OF TODAY, the drift was SO bad that I physically had to stop playing. AN AMAZING PRODUCT FOR ALL OF 2 MONTHS, so definitely a solid emergency replacement pad, but NEVER EVER buy this as an actual permanent replacement. The funniest thing? The drift is THE ENTIRE back section of the left thumbstick. meaning I walk backwards. Normally drift is forwards and to the right for me. Not backwards in a left or right direction."
1.0,The very first time I used this controller the down direction on the joystick only registered intermittently. It’s not worth the low price to get a cheaply made model.
1.0,"Product didn't work right out of the box. After reading the rest of the reviews (should've done that first),I'll just ask for a refund because no use waiting for another one."
1.0,"It was problematic from the get go with the A button not consistently registering. Then the left pad bumper stopped working after 6 months or so, so I reconfigured the left pad bumper with the B button. Then, it began activating the right controller stick every time I engaged the right trigger button. When I played WoT, every time I fired, the tank jumped forward as if I was pushing the right controller stick forward. Also, it didn't recognize my Microsoft Xbox headphone. What a piece of Chinese manufactured junk."
1.0,Absolute trash. This company used to be good. After about a month the sticks drift and lag so bad I cant use it. This is a HUGE problems with this brand now. Wish I had known. Avoid this brand like it has the plague.
1.0,The listing for the controller clearly states this is accompanied by a 10ft connector cable. The cord that was sent is less than 2 feet. How am i supposed to use this with such a short cord? (See image for reference)
1.0,Cable connection to the controller became very loose in less than two months. Have to hold the cable just right for the controller to turn on and stay on. Even setting it down turns the controller off. Very frustrating but I guess I’ll order a new cord to see if that fixes the issue.
1.0,I got this controller and it will not start at all i try to turn it on and it doesn't work
